Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Alzheimer's Disease	C0002395	APP	351	P05067	amyloid beta precursor protein	enzyme modulator	371	0.43	0.862	0.062254	0.9	no reported evidence	0.967113276492083	1764	39	1987.0	2018.0
Alzheimer's Disease	C0002395	APOE	348	P02649	apolipoprotein E		770	0.352	0.931	0.0017371	0.7	no reported evidence	0.921821305841924	2356	11	1991.0	2018.0
Alzheimer's Disease	C0002395	PSEN1	5663	P49768	presenilin 1	calcium-binding protein; hydrolase; protease; signaling molecule	268	0.49	0.69	0.97833	0.7	no reported evidence	0.9385246	535	40	1990.0	2018.0
Alzheimer's Disease	C0002395	SORL1	6653	Q92673	sortilin related receptor 1	receptor; transporter	69	0.619	0.483	1.132e-09	0.7	no reported evidence	0.9855072	79	12	2004.0	2018.0
Alzheimer's Disease	C0002395	BCL2	596	P10415	BCL2, apoptosis regulator	signaling molecule	987	0.312	0.862	0.56705	0.6	no reported evidence	1.0	15	0	1996.0	2016.0
Alzheimer's Disease	C0002395	BDNF	627	P23560	brain derived neurotrophic factor	signaling molecule	591	0.382	0.828	0.69969	0.6	no reported evidence	0.975806451612903	126	7	1992.0	2018.0
Alzheimer's Disease	C0002395	ACE	1636	P12821	angiotensin I converting enzyme	hydrolase; protease	624	0.367	0.897	1.5509e-37	0.6	no reported evidence	0.859375	71	4	1998.0	2018.0
Alzheimer's Disease	C0002395	GSK3B	2932	P49841	glycogen synthase kinase 3 beta	kinase; transferase	185	0.488	0.793	0.96265	0.6	no reported evidence	0.9189189	43	1	2000.0	2016.0
Alzheimer's Disease	C0002395	IL1B	3553	P01584	interleukin 1 beta		1035	0.312	0.931	0.12568	0.6	no reported evidence	0.9464286	60	0	1989.0	2017.0
Alzheimer's Disease	C0002395	INSR	3643	P06213	insulin receptor		338	0.459	0.724	2.0365e-05	0.59	no reported evidence	1.0	11	0	2002.0	2016.0
Alzheimer's Disease	C0002395	LEP	3952	P41159	leptin		498	0.4	0.793	0.38947	0.58	no reported evidence	1.0	10	0	2005.0	2018.0
Alzheimer's Disease	C0002395	PLAU	5328	P00749	plasminogen activator, urokinase	hydrolase; protease	325	0.434	0.69	2.1424e-06	0.58	no reported evidence	1.0	18	1	1994.0	2014.0
Alzheimer's Disease	C0002395	IGF2	3481	P01344	insulin like growth factor 2		505	0.399	0.828	0.046895	0.55	no reported evidence	1.0	7	0	2002.0	2015.0
Alzheimer's Disease	C0002395	NPY	4852	P01303	neuropeptide Y	signaling molecule	243	0.469	0.69	0.15508	0.55	no reported evidence	0.6	7	0	2000.0	2016.0
Alzheimer's Disease	C0002395	IGF1R	3480	P08069	insulin like growth factor 1 receptor		373	0.433	0.828	0.98751	0.52	no reported evidence	1.0	5	0	2005.0	2013.0
Alzheimer's Disease	C0002395	INS	3630	P01308	insulin		309	0.458	0.828	0.32169	0.52	no reported evidence	1.0	5	0	1991.0	2007.0
Alzheimer's Disease	C0002395	BAX	581	Q07812	BCL2 associated X, apoptosis regulator	signaling molecule	267	0.45	0.862	0.30181	0.51	no reported evidence	1.0	5	0	1997.0	2011.0
Alzheimer's Disease	C0002395	CLU	1191	P10909	clusterin		266	0.456	0.793	5.687e-05	0.5	no reported evidence	0.963414634146341	85	6	1991.0	2018.0
Alzheimer's Disease	C0002395	PSEN2	5664	P49810	presenilin 2	hydrolase; protease; signaling molecule	108	0.567	0.517	0.002428	0.5	no reported evidence	0.9781022	148	9	1995.0	2018.0
Alzheimer's Disease	C0002395	PICALM	8301	Q13492	phosphatidylinositol binding clathrin assembly protein	membrane traffic protein	36	0.639	0.31	0.99901	0.5	no reported evidence	0.9574468	50	16	2009.0	2018.0
Alzheimer's Disease	C0002395	ABCA7	10347	Q8IZY2	ATP binding cassette subfamily A member 7	transporter	46	0.69	0.379	4.4592e-55	0.5	no reported evidence	1.0	36	8	2011.0	2018.0
Alzheimer's Disease	C0002395	CD2AP	23607	Q9Y5K6	CD2 associated protein	signaling molecule	52	0.642	0.448	0.28867	0.5	no reported evidence	1.0	13	2	2011.0	2018.0
Alzheimer's Disease	C0002395	TREM2	54209	Q9NZC2	triggering receptor expressed on myeloid cells 2		178	0.572	0.552	4.0014e-09	0.5	no reported evidence	0.962963	82	3	2007.0	2018.0
Alzheimer's Disease	C0002395	CR1	1378	P17927	complement C3b/C4b receptor 1 (Knops blood group)		51	0.607	0.621	1.1412e-33	0.46	no reported evidence	1.0	11	8	2009.0	2018.0
Alzheimer's Disease	C0002395	VSNL1	7447	P62760	visinin like 1		40	0.652	0.345	0.48894	0.45	no reported evidence	1.0	6	3	2002.0	2016.0
Alzheimer's Disease	C0002395	PCDH11X	27328	Q9BZA7	protocadherin 11 X-linked		17	0.72	0.345	0.019408	0.42	no reported evidence	1.0	3	2	2009.0	2011.0
Alzheimer's Disease	C0002395	MS4A4A	51338	Q96JQ5	membrane spanning 4-domains A4A	receptor	10	0.762	0.172	7.4278e-06	0.42	no reported evidence	1.0	3	2	2011.0	2018.0
Alzheimer's Disease	C0002395	A2M	2	P01023	alpha-2-macroglobulin	defense/immunity protein; enzyme modulator; signaling molecule	86	0.564	0.724	5.608e-11	0.4	no reported evidence	0.848484848484849	36	0	1998.0	2016.0
Alzheimer's Disease	C0002395	ACHE	43	P22303	acetylcholinesterase (Cartwright blood group)	hydrolase; protease	219	0.494	0.793	0.99826	0.4	no reported evidence	0.969230769230769	66	0	1991.0	2018.0
Alzheimer's Disease	C0002395	BIN1	274	O00499	bridging integrator 1		109	0.573	0.621	0.76923	0.4	no reported evidence	0.9375	33	0	2011.0	2018.0
Alzheimer's Disease	C0002395	BCHE	590	P06276	butyrylcholinesterase		219	0.503	0.793	1.0635e-12	0.4	no reported evidence	0.944444444444444	111	0	1995.0	2018.0
Alzheimer's Disease	C0002395	CALM1	801	P0DP23;P0DP24;P0DP25	calmodulin 1		203	0.469	0.793	0.94658	0.4	no reported evidence	0.9	11	0	1992.0	2016.0
Alzheimer's Disease	C0002395	CASP3	836	P42574	caspase 3	enzyme modulator; hydrolase; protease	462	0.391	0.862	0.28359	0.4	no reported evidence	1.0	22	0	1999.0	2016.0
Alzheimer's Disease	C0002395	CD33	945	P20138	CD33 molecule	cell adhesion molecule; defense/immunity protein; receptor; signaling molecule; structural protein	81	0.567	0.586	6.3274e-07	0.4	no reported evidence	0.95	21	2	2011.0	2018.0
Alzheimer's Disease	C0002395	CHRNA7	1139	P36544;Q494W8	cholinergic receptor nicotinic alpha 7 subunit	receptor; transporter	126	0.55	0.552	0.0015135	0.4	no reported evidence	1.0	10	0	2001.0	2015.0
Alzheimer's Disease	C0002395	CST3	1471	P01034	cystatin C		167	0.5	0.724	0.0038631	0.4	no reported evidence	0.944444444444444	38	1	1989.0	2015.0
Alzheimer's Disease	C0002395	CYP2D6	1565	P10635	cytochrome P450 family 2 subfamily D member 6		312	0.461	0.724	2.1514e-23	0.4	no reported evidence	0.964285714285714	29	1	1995.0	2016.0
Alzheimer's Disease	C0002395	DHCR24	1718	Q15392	24-dehydrocholesterol reductase	oxidoreductase	104	0.572	0.655	0.038197	0.4	no reported evidence	0.95	20	4	2001.0	2016.0
Alzheimer's Disease	C0002395	DPYSL2	1808	Q16555	dihydropyrimidinase like 2	hydrolase; protease	47	0.63	0.517	0.99407	0.4	no reported evidence	1.0	13	0	2000.0	2016.0
Alzheimer's Disease	C0002395	EPHA1	2041	P21709	EPH receptor A1		64	0.596	0.586	4.8917e-23	0.4	no reported evidence	0.9	11	0	2010.0	2018.0
Alzheimer's Disease	C0002395	ESR1	2099	P03372	estrogen receptor 1	nucleic acid binding; receptor; transcription factor	686	0.355	0.897	0.9994	0.4	no reported evidence	1.0	45	4	1999.0	2016.0
Alzheimer's Disease	C0002395	HFE	3077	Q30201	homeostatic iron regulator		334	0.44	0.69	3.0065e-08	0.4	no reported evidence	0.9583333	26	3	2001.0	2016.0
Alzheimer's Disease	C0002395	HMOX1	3162	P09601	heme oxygenase 1	oxidoreductase	460	0.403	0.862	0.0078856	0.4	no reported evidence	0.8888889	20	1	1995.0	2016.0
Alzheimer's Disease	C0002395	IDE	3416	P14735	insulin degrading enzyme	hydrolase; protease	47	0.627	0.483	0.009105	0.4	no reported evidence	0.9508197	62	1	2001.0	2016.0
Alzheimer's Disease	C0002395	IGF1	3479	P05019	insulin like growth factor 1		715	0.355	0.828	0.28843	0.4	no reported evidence	1.0	22	0	2000.0	2016.0
Alzheimer's Disease	C0002395	IL6	3569	P05231	interleukin 6		1330	0.287	0.966	0.33873	0.4	no reported evidence	0.9285714	73	1	1993.0	2017.0
Alzheimer's Disease	C0002395	MAPT	4137	P10636	microtubule associated protein tau		265	0.492	0.724	0.0073024	0.4	no reported evidence	0.9793103	471	12	1988.0	2018.0
Alzheimer's Disease	C0002395	MPO	4353	P05164	myeloperoxidase	oxidoreductase	327	0.435	0.931	6.8206e-15	0.4	no reported evidence	1.0	10	0	1999.0	2009.0
Alzheimer's Disease	C0002395	MTHFR	4524	P42898	methylenetetrahydrofolate reductase		699	0.354	0.828	1.2191e-09	0.4	no reported evidence	0.8484848	34	4	1999.0	2018.0
Alzheimer's Disease	C0002395	NOS3	4846	P29474	nitric oxide synthase 3		467	0.401	0.862	8.8921e-07	0.4	no reported evidence	0.9411765	17	1	1999.0	2016.0
Alzheimer's Disease	C0002395	PPARG	5468	P37231	peroxisome proliferator activated receptor gamma	nucleic acid binding; receptor; transcription factor	540	0.388	0.828	0.1447	0.4	no reported evidence	0.8928571	29	6	2000.0	2017.0
