"gene","patient1","patient2","patient3","patient4","patient5"
"RNF14",0.475166666666667,0.814333333333333,1.42791666666667,0.955166666666667,0.26225
"DUOXA1",0.3825,0.489,0.4555,-0.1055,0.062
"UBE2Q2",0.279666666666667,0.780666666666667,0.660166666666667,1.40233333333333,0.785666666666667
"RNF10",0.25275,0.51625,0.5335,-0.066375,0.346875
"RNF11",0.60325,0.70925,1.20825,1.486,0.44825
"RNF12",-0.133,-0.446333333333333,-0.100666666666667,-0.416,0.164833333333333
"RNF13",1.0685,0.0015,0.5985,0.582,-0.358
"REM1",0.4505,0.5825,-0.07,0.4975,0.205
"REM2",1.2115,0.637,0.827,-0.1075,0.5745
"SYNGR2",1.71283333333333,0.409166666666667,1.715,0.0756666666666667,1.4315
"C16orf13",0.674375,-0.7105,-0.078875,-1.14025,0.728875
"DUOXA2",-0.0275,0.20175,-0.332,-0.2035,-0.35975
"ATRX",0.1877,0.3507,0.3581,0.3917,0.1506
"PMM2",0.523166666666667,0.122666666666667,0.108,-0.0796666666666667,0.854166666666667
"PMM1",-0.59275,-0.12225,-0.33425,-0.3775,-0.30725
"ASS1",-3.7535,-1.21516666666667,-4.39766666666667,-1.29583333333333,-0.656166666666667
"NCBP1",-0.8355,-0.818,-0.5,-0.657333333333333,-0.134
"HMG1L1",-0.834,-0.3775,-1.71225,-0.335,-0.63775
"ZNF708",0.3815,0.182666666666667,-0.433333333333333,0.568333333333333,-0.891666666666667
"RBM14",-0.43075,-0.18975,0.03325,-0.03925,-0.481
"CBX3",0.05775,-0.08175,-0.086125,-0.777,-0.45525
"C6orf142",-0.5665,0.5735,-1.932,0.8295,1.9395
"ZNF703",1.10733333333333,0.753166666666667,2.702,-0.217,1.042
"ZNF702",0.100333333333333,0.6245,2.51966666666667,0.782166666666667,1.108
"SPR",2.08966666666667,1.16783333333333,2.05083333333333,0.714833333333333,-0.1965
"UNQ9438",0.909833333333333,0.298666666666667,0.386166666666667,0.2355,0.0265
"ZNF707",0.252,0.468166666666667,1.97333333333333,-0.5925,-0.137166666666667
"ZNF706",-0.1629,-0.0189999999999999,0.9903,0.2905,0.9391
"ZNF704",1.262,1.41433333333333,2.2555,0.630666666666667,2.24566666666667
"ZC3H10",1.0141,1.2384,1.7756,0.439,0.4152
"ZC3H13",0.207416666666667,0.239583333333333,0.246083333333333,0.341916666666667,0.146166666666667
"ZC3H15",-0.398,-0.5555,-0.853,-0.279,-0.2905
"ZC3H14",-0.344125,-0.320125,-0.623125,-0.33475,-0.23125
"SPN",-0.401,-0.822625,-1.682875,-0.894375,-1.1055
"RNF111",0.4715,-0.2925,0.39,0.3445,0.2195
"NACAP1",-0.0425,0.42225,0.227,0.89825,-0.0135
"CEACAM5",2.72175,-2.1775,-2.268,1.60425,1.796
"GRIN1",0.9085,0.0429285714285714,0.276357142857143,-0.755142857142857,0.516214285714286
"C16orf14",-0.08275,-0.685,-0.144,-1.31175,0.21925
"FOXQ1",-2.45875,-1.64825,-2.94925,-1.658,1.048125
"ZNF533",4.16892857142857,0.850142857142857,1.109,1.70435714285714,-0.0176428571428572
"TCOF1",-1.66283333333333,-1.6735,-1.26583333333333,-1.18016666666667,-0.9985
"CEACAM7",0.987083333333333,2.60316666666667,1.14666666666667,2.255,0.889833333333333
"NUP98",0.272333333333333,0.09525,0.3685,-0.135916666666667,-0.0138333333333333
"XPC",-0.124333333333333,0.233833333333333,0.211666666666667,-0.170166666666667,0.112333333333333
