	US82800149_251976012849	US82800149_251976012848	US82800149_251976012847	US82800149_251976012843	US82800149_251976012845	US82800149_251976012844	US82800149_251976012850	US82800149_251976012851	US82800149_251976012852	US82800149_251976012853	US82800149_251976012932	US82800149_251976012931	US82800149_251976012930	US82800149_251976012841	US82800149_251976012846	US82800149_251976012929
RNF14	1.75575	1.26675	1.91158333333333	1.6225	0.611916666666667	1.05533333333333	1.35116666666667	0.974583333333333	0.0933333333333333	2.12866666666667	2.29375	0.916666666666667	1.02908333333333	0.874166666666667	1.4045833333333302	1.58025
DUOXA1	0.5445	0.25650000000000001	0.5435	-0.6545	1.4404999999999999	0.16	2.0815	0.485	-0.1865	0.4965	1.649	-0.8215	0.228	-0.2855	-0.030499999999999999	-0.59
UBE2Q2	1.40083333333333	0.2195	1.47583333333333	1.61416666666667	0.30766666666666698	0.865	1.01383333333333	-0.7805	-1.9215	0.2235	1.49033333333333	0.1255	0.149	0.854	1.2696666666666701	1.41766666666667
RNF10	-0.546875	-0.40849999999999997	-1.4335	0.06	0.28862500000000002	0.8645	0.004875	0.74375	0.677375	-0.189625	-1.152125	0.56475	0.554875	-0.021375	-0.62812500000000004	-0.355375
RNF11	2.3075	0.187	0.521	1.49775	0.056750000000000002	0.37625	1.86375	1.1275	0.0545	0.9485	1.267	1.94825	2.17475	0.79675	1.2070000000000001	1.49275
RNF12	-1.20566666666667	-1.3791666666666698	-0.806833333333333	-1.65583333333333	-1.4888333333333301	-1.44566666666667	-1.47983333333333	-2.0295	-2.432	-1.25616666666667	-0.833833333333333	-1.56983333333333	-1.31433333333333	-1.59266666666667	-0.81516666666666704	-1.09966666666667
RNF13	1.206	0.85400000000000009	1.26	0.8695	0.65000000000000002	0.715	0.718	0.843	-0.3365	0.4005	1.759	1.1045	1.6325	0.1505	0.19600000000000001	1.6835
REM1	-0.033	0.44350000000000001	-0.4525	0.1205	0.36849999999999999	0.9135	-0.381	-1.0915	0.5385	0.167	1.031	0.202	1.802	2.3345	-0.13750000000000001	-0.1055
REM2	-0.1015	0.90099999999999991	0.127	0.00900000000000001	0.1255	-0.603	1.172	-0.409	0.241	0.6985	0.5715	0.6395	0.488	-1.4485	-0.75349999999999995	1.563
SYNGR2	0.951833333333333	-0.00116666666666667	-0.668166666666667	-0.379833333333333	0.39183333333333292	0.4595	0.546333333333333	-0.4085	-1.084	0.8365	-1.973	-1.2515	-1.914	-0.270666666666667	-1.14083333333333	-1.11366666666667
C16orf13	0.7175	-0.44774999999999998	-1.076375	0.04125	-0.37987500000000002	-0.836625	0.375875	-0.08875	-0.5915	0.13925	-0.642625	0.76425	0.562	-0.71725	-1.348875	0.155625
DUOXA2	0.1005	-0.28699999999999998	-0.00625	-0.756	-0.129	-0.4525	1.35775	-1.01525	-0.65425	-0.01575	-0.896333333333333	0.09425	-3.184	-0.92075	-0.055500000000000001	0.199
ATRX	-1.3722	-0.18890000000000001	0.00970000000000001	0.0144	-0.73470000000000002	-0.3418	-0.1635	-0.4001	-0.9167	-0.488	-0.435444444444444	0.239444444444444	-0.439888888888889	0.2718	-0.44180000000000003	0.376333333333333
PMM2	0.7205	-0.47833333333333289	-0.507166666666667	-0.0386666666666667	-0.0073333333333333297	-0.602666666666667	-0.520333333333333	0.668166666666667	-0.153333333333333	-0.184833333333333	-1.6645	0.144	-0.360666666666667	-0.821666666666667	-0.4985	-0.2795
PMM1	0.11425	-0.0042500000000000003	0.47	1.8235	0.3105	0.91375	-0.2675	0.647	-0.175	1.64625	-0.277	1.1595	0.01075	0.7515	-0.39899999999999997	1.5705
